;Table name : cm_cont
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Variable_cm,UpperAS1,UpperAS2,UpperAS3,UpperAS4
;FLOAT NOT NULL DEFAULT -99.0 :  Lambda1,Lambda2,Lambda3,Lambda4,F_density1, F_density2,F_density3,F_density4, eF_density1,eF_density2,eF_density3,eF_density4,Peak_density1,Peak_density2,Peak_density3,Peak_density4,ePeak_density1,ePeak_density2,ePeak_density3,ePeak_density4,IntegratedFlux1,IntegratedFlux2,IntegratedFlux3, IntegratedFlux4, eIntegratedFlux1,eIntegratedFlux2,eIntegratedFlux3, eIntegratedFlux4,PABeam1,PABeam2,PABeam3,PABeam4,PASource1,PASource2,PASource3,PASource4,AngularSize_Sourcex1,AngularSize_Sourcex2,AngularSize_Sourcex3,AngularSize_Sourcex4,AngularSize_Sourcey1,AngularSize_Sourcey2,AngularSize_Sourcey3,AngularSize_Sourcey4
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Beam1,Beam2,Beam3,Beam4,Instrument1,Instrument2,Instrument3,Instrument4
;VARCHAR(255) NOT NULL DEFAULT 'N.A.' : Pub_cm_cont1,Pub_cm_cont2,Pub_cm_cont3,Pub_cm_cont4
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Variable_cm,Lambda1,F_density1,eF_density1,Peak_density1,ePeak_density1,IntegratedFlux1,eIntegratedFlux1,Beam1,PABeam1,AngularSize_Sourcex1,AngularSize_Sourcey1,UpperAS1,PASource1,Instrument1,Pub_cm_cont1,Lambda2,F_density2,eF_density2,Peak_density2,ePeak_density2,IntegratedFlux2,eIntegratedFlux2,Beam2,PABeam2,AngularSize_Sourcex2,AngularSize_Sourcey2,UpperAS2,PASource2,Instrument2,Pub_cm_cont2,Lambda3,F_density3,eF_density3,Peak_density3,ePeak_density3,IntegratedFlux3,eIntegratedFlux3,Beam3,PABeam3,AngularSize_Sourcex3,AngularSize_Sourcey3,UpperAS3,PASource3,Instrument3,Pub_cm_cont3,Lambda4,F_density4,eF_density4,Peak_density4,ePeak_density4,IntegratedFlux4,eIntegratedFlux4,Beam4,PABeam4,AngularSize_Sourcex4,AngularSize_Sourcey4,UpperAS4,PASource4,Instrument4,Pub_cm_cont4,ID
3,0,21000.,0.027,0.008,-99.,-99.,-99.,-99.,2.4x1.7,-75.2,-99.,-99.,0,-99.,JVLA,Palau et al. 2014,33000,0.016,0.0,-99.,-99.,-99.,-99.,3.9x2.5,-77.5,-99.,-99.,0,-99.,JVLA,Palau et al. 2014,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,3
7,1,35000.,0.142,0.009,-99.,-99.,-99.,-99.,9.6x8.6,-99,-99,-99,0,-99,VLA,Choi et al 2014,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,7
35,1,35000.,0.060,0.008,-99.,-99.,-99.,-99.,3.3x2.9,-99.,-99.,-99.,0,-99.,VLA,Choi et al 2014,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,35
38,1,18000,0.2985,0.0265,0.1663,-99,0.2985,0.0265,31.2x25.4,-99,-99.,-99.,0,-99.,AMI-LA,Scaife et al 2010,36000.,0.103,0.015,-99.,-99.,-99.,-99.,5.9x5.9,-99.,-99.,-99.,0,-99.,VLA,Shirley et al 2007,60000.,0.088,0.011,-99.,-99.,-99.,-99.,0.46x0.44,-99.,-99.,-99.,0,-99.,VLA,Shirley et al 2007,99.,-99.,-99.,-99.,-99.,-99.,-99.,N.A.,-99.,-99,-99.,0,-99.,N.A.,N.A.,38
97,0,13000,0.13,0.03,0.07,0.02,-99.,-99.,1.8x1.6,-99,3.25,0.98,1,65.6,JVLA,Morata et al 2015,36000,0.14,0.04,0.13,0.03,-99.,-99.,2.2x1.8,-99.,2.03,0.73,0,-88.9,JVLA,Morata et al 2015,60000,0.21,0.04,-99.,-99.,-99.,-99.,16,-99.,-99.,-99.,0,-99.,VLA,Barrado et al 2007,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,97
96,0,35540,-99.,-99.,0.055,0.,-99.,-99.,3.29x2.93,29.7,-99.,-99.,0,-99.,VLA,Furuya et al 2006,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,96
166,0,13000,0.04,0,0.036,0.,-99.,-99.,1.8x1.6,-99,-99,-99,0,-99,JVLA,Morata et al 2015,36000,0.04,0.02,0.05,0.02,-99,-99,2.2x1.8,-99,-99,-99,0,-99,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,166
167,0,13000,0.04,0.,0.04,0.,-99.,-99.,1.8x1.6,-99,-99,-99,0,-99,JVLA,Morata et al 2015,36000,0.09,0.03,0.1,0.03,-99.,-99.,2.2x1.8,-99,2.86,0.07,0,57.3,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,167
168,0,13000,0.045,0.,-99.,-99.,-99.,-99.,1.8x1.6,-99,-99,-99,0,-99,JVLA,Morata et al 2015,36000,0.123,0.,-99.,-99.,-99.,-99.,2.2x1.8,-99,-99,-99,0,-99,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,168
162,0,13000,0.13,0.03,0.08,0.02,-99.,-99.,1.8x1.6,-99,2.05,1.36,1,-68.1,JVLA,Morata et al 2015,36000,0.12,0.,0.105,0.,-99.,-99.,2.2x1.8,-99,-99,-99,0,-99,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,162
163,0,13000,0.15,0.04,0.08,0.02,-99.,-99.,1.8x1.6,-99,3.28,2.12,1,63.8,JVLA,Morata et al 2015,36000,0.10,0.03,0.08,0.02,-99.,-99.,2.2x1.8,-99,3.79,1.38,0,-81.4,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,163
169,0,13000,0.28,0.02,0.28,0.02,-99.,-99.,1.8x1.6,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,36000,0.42,0.05,0.42,0.05,-99.,-99.,2.2x1.8,-99,-99.,-99.,0,-99.,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,169
