;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
3,2,Optical
3,3,Optical
97,24,Optical
97,25,Optical
172,29,Optical
178,36,Optical
178,37,Optical
178,38,Optical
180,36,Optical
180,38,Optical
198,40,Optical
198,39,Optical
198,29,Optical
199,39,Optical
200,39,Optical
206,50,Optical
207,50,Optical
3,10,Spitzer
3,11,Spitzer
3,12,Spitzer
3,13,Spitzer
3,14,Spitzer
35,10,Spitzer
35,11,Spitzer
35,12,Spitzer
35,13,Spitzer
35,14,Spitzer
34,10,Spitzer
34,11,Spitzer
34,12,Spitzer
34,13,Spitzer
34,14,Spitzer
34,15,Spitzer
38,10,Spitzer
38,11,Spitzer
38,12,Spitzer
38,13,Spitzer
38,14,Spitzer
38,15,Spitzer
142,10,Spitzer
142,11,Spitzer
142,12,Spitzer
142,13,Spitzer
142,14,Spitzer
97,10,Spitzer
97,11,Spitzer
97,12,Spitzer
97,13,Spitzer
97,14,Spitzer
97,15,Spitzer
0,10,Spitzer
0,11,Spitzer
0,12,Spitzer
0,13,Spitzer
0,14,Spitzer
0,15,Spitzer
0,16,Spitzer
1,10,Spitzer
1,11,Spitzer
1,12,Spitzer
1,13,Spitzer
1,14,Spitzer
2,10,Spitzer
2,11,Spitzer
2,12,Spitzer
2,13,Spitzer
2,14,Spitzer
4,10,Spitzer
4,11,Spitzer
4,12,Spitzer
4,13,Spitzer
4,14,Spitzer
5,10,Spitzer
5,11,Spitzer
5,12,Spitzer
5,13,Spitzer
5,14,Spitzer
5,15,Spitzer
6,13,Spitzer
6,14,Spitzer
6,15,Spitzer
7,10,Spitzer
7,11,Spitzer
7,12,Spitzer
7,13,Spitzer
7,14,Spitzer
