;ID,ID_F,NAME_F,LF,WF,ZPjy,ZPerg
3,2,IMEGACAM,0.76,0.12,2569.47,1.37e-09
3,3,ZMEGACAM,0.88,0.1,2251.78,8.727999999999999e-10
97,2,IMEGACAM,0.76,0.12,2569.47,1.37e-09
97,3,ZMEGACAM,0.88,0.1,2251.78,8.727999999999999e-10
172,29,ZSDSS,0.89,0.11,2227.03,8.385850000000001e-10
178,36,WFIRCousins,0.6482,0.154,3033.45,2.164e-09
178,37,WFIICousins,0.86,0.151,2297.88,9.297000000000001e-10
178,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
180,36,WFIRCousins,0.6482,0.154,3033.45,2.164e-09
180,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
198,40,SAORCousin,0.64,0.14,3072.83,2.2456300000000002e-09
198,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
198,29,ZSDSS,0.89,0.11,2227.03,8.385850000000001e-10
199,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
200,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
206,50,DENIS-I,0.7859999999999999,0.113,2439.72,1.1728e-09
207,50,DENIS-I,0.7859999999999999,0.113,2439.72,1.1728e-09
327,37,WFIICousins,0.86,0.151,2297.88,9.297000000000001e-10
327,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
3,10,IRAC1,3.5,0.68,277.22,6.755e-12
3,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
3,12,IRAC3,5.6,1.3,113.85,1.078e-12
3,13,IRAC4,8.5,2.5,62.0,3.227e-13
3,14,MIPS1,23.2,5.2,7.07,3.936e-15
35,10,IRAC1,3.5,0.68,277.22,6.755e-12
35,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
35,12,IRAC3,5.6,1.3,113.85,1.078e-12
35,13,IRAC4,8.5,2.5,62.0,3.227e-13
35,14,MIPS1,23.2,5.2,7.07,3.936e-15
34,10,IRAC1,3.5,0.68,277.22,6.755e-12
34,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
34,12,IRAC3,5.6,1.3,113.85,1.078e-12
34,13,IRAC4,8.5,2.5,62.0,3.227e-13
34,14,MIPS1,23.2,5.2,7.07,3.936e-15
34,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
38,10,IRAC1,3.5,0.68,277.22,6.755e-12
38,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
38,12,IRAC3,5.6,1.3,113.85,1.078e-12
38,13,IRAC4,8.5,2.5,62.0,3.227e-13
38,14,MIPS1,23.2,5.2,7.07,3.936e-15
38,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
142,10,IRAC1,3.5,0.68,277.22,6.755e-12
142,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
142,12,IRAC3,5.6,1.3,113.85,1.078e-12
142,13,IRAC4,8.5,2.5,62.0,3.227e-13
142,14,MIPS1,23.2,5.2,7.07,3.936e-15
97,10,IRAC1,3.5,0.68,277.22,6.755e-12
97,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
97,12,IRAC3,5.6,1.3,113.85,1.078e-12
97,13,IRAC4,8.5,2.5,62.0,3.227e-13
97,14,MIPS1,23.2,5.2,7.07,3.936e-15
97,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
0,10,IRAC1,3.5,0.68,277.22,6.755e-12
0,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
0,12,IRAC3,5.6,1.3,113.85,1.078e-12
0,13,IRAC4,8.5,2.5,62.0,3.227e-13
0,14,MIPS1,23.2,5.2,7.07,3.936e-15
0,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
0,16,MIPS3,152.6,35.75,0.16,2.0330000000000003e-18
1,10,IRAC1,3.5,0.68,277.22,6.755e-12
1,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
1,12,IRAC3,5.6,1.3,113.85,1.078e-12
1,13,IRAC4,8.5,2.5,62.0,3.227e-13
1,14,MIPS1,23.2,5.2,7.07,3.936e-15
2,10,IRAC1,3.5,0.68,277.22,6.755e-12
2,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
2,12,IRAC3,5.6,1.3,113.85,1.078e-12
2,13,IRAC4,8.5,2.5,62.0,3.227e-13
2,14,MIPS1,23.2,5.2,7.07,3.936e-15
4,10,IRAC1,3.5,0.68,277.22,6.755e-12
4,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
4,12,IRAC3,5.6,1.3,113.85,1.078e-12
4,13,IRAC4,8.5,2.5,62.0,3.227e-13
4,14,MIPS1,23.2,5.2,7.07,3.936e-15
5,10,IRAC1,3.5,0.68,277.22,6.755e-12
5,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
5,12,IRAC3,5.6,1.3,113.85,1.078e-12
5,13,IRAC4,8.5,2.5,62.0,3.227e-13
5,14,MIPS1,23.2,5.2,7.07,3.936e-15
5,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
6,13,IRAC4,8.5,2.5,62.0,3.227e-13
6,14,MIPS1,23.2,5.2,7.07,3.936e-15
6,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
7,10,IRAC1,3.5,0.68,277.22,6.755e-12
7,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
7,12,IRAC3,5.6,1.3,113.85,1.078e-12
7,13,IRAC4,8.5,2.5,62.0,3.227e-13
7,14,MIPS1,23.2,5.2,7.07,3.936e-15
7,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
8,10,IRAC1,3.5,0.68,277.22,6.755e-12
8,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
8,12,IRAC3,5.6,1.3,113.85,1.078e-12
8,13,IRAC4,8.5,2.5,62.0,3.227e-13
8,14,MIPS1,23.2,5.2,7.07,3.936e-15
9,10,IRAC1,3.5,0.68,277.22,6.755e-12
