;Table name : Identity
;MariaDB types
;INT NOT NULL : ID
;VARCHAR(40) NOT NULL DEFAULT 'N.A.' : Name, OtherName
;CONSTRAINT  PRIMARY KEY (ID)
;ID, Name, OtherName
0,J032832.5+311105,"[EYG2006] Bolo 25"
1,J032839.1+310601,"[EYG2006] Bolo 30"
3,IC348-SMMS2E,"[PZR2014b] IC 348-SMM2E"
35,L1148-IRS,"SSTc2d J204056.6+672304"
34,L673-7-IRS,"SSTc2d J192134.8+112123"
38,L1014-IRS,"NAME LDN 1014 IRS"
142,J182953.04+003606.8,"IRAS 18273+0034"
97,J041757.7+274105,"[BMP2009] SSTB213 J041757.75+274105.5 B"
318,J041757-NE,"NAME J041757-NE"
2,J033032.6+302626,"SSTc2d J033032.6+302626"
4,J040134.3+411143,"2MASS J04013435+4111431"
5,IRAS04111+2800G,"SSTc2d J041412.3+280837"
6,J041840.2+282925,J041840.2+282925
7,IRAM04191,"WISEA J042156.86+152946.0"
8,L1521F-IRS,"NAME LDN 1521F IRS"
9,J043014.9+360008,"SSTgbs J0430149+360008"
10,J162648.4-242838,"SSTc2d J162648.4-242838"
11,IRAS16253-2429,"[SSG2006] MMS126"
12,CB130-3-IRS,"SSTc2d J181616.3-023237"
13,L328-IRS,"NAME L328 IRS"
14,J182855.8-013734,"2MASS J18285582-0137346"
15,J182905.4-034245,"SSTgbs J1829054-034245"
16,J182913.0-014617,"IRAS 18265-0148"
17,J182920.9-013714,"IRAS 18267-0139"
18,J182925.1-014737,"2MASS J18292510-0147382"
19,J182933.6-014510,"2MASS J18293368-0145103"
20,J182943.9-021255,"HGBS J182943.8-021256"
21,J182952.9-015805,"HGBS J182953.0-015804"
22,J183014.4-013333,J183014.4-013333
23,J183015.6-020719,"SSTgbs J1830156-020719"
24,J183017.4-020958,"SSTgbs J1830174-020958"
25,J183016.2-015252,"SSTgbs J1830162-015252"
26,J183021.8-015201,"IRAS 18277-0154"
27,J183027.5-015439,"SSTgbs J1830275-015439"
28,J183046.9-015645,"2MASS J18304693-0156461"
