;Table name : Molecules
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO
;FLOAT NOT NULL DEFAULT -99.0 :Mol_Flow
;VARCHAR(255) NOT NULL DEFAULT 'N.A.': Pub_mol,Pub_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.': Mol_tracer
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO,Pub_mol,Mol_Flow,Mol_tracer,Pub_F,ID
0,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,0
1,1,0,1,1,1,0,0,0,0,Kim et al 2019/Kim et al 2021/Hung2010,1,C12O,Hung2010,1
2,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,C12O,Kim et al 2019,2
3,1,0,1,0,1,0,0,0,0,Palau et al 2014/Kim et al 2019/Kim et al 2021,0,CO,Palau et al 2014,3
4,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,4
5,1,0,0,1,0,1,0,0,0,Kim et al 2019/Carney et al 2015/Andre et al 1999,1,C12O,Kim et al 2019,5
6,1,0,0,0,0,0,0,0,0,Kim et al 2019,0,N.A.,N.A.,6
7,1,0,0,1,0,0,0,0,0,Kim et al 2019,1,C12O,Kim et al 2019,7
8,1,0,0,1,0,1,0,1,0,Carney et al 2015/Tokuda et al 2016/Kim et al 2019/Favre et al 2020,1,C12O,Kim et al 2019,8
9,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,9
10,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,10
11,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,11
12,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,12
13,1,0,1,1,1,0,0,0,0,Kim et al 2019/Kim et al 2021/Lee et al 2009/Lee et al 2013,1,C12O,Kim et al 2019,13
14,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,14
15,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,15
16,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,16
17,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,17
18,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,18
19,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,-99.,N.A.,N.A.,19
20,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,-99.,N.A.,N.A.,20
21,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,-99.,N.A.,N.A.,21
22,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,-99.,N.A.,N.A.,22
23,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,-99.,N.A.,N.A.,23
24,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,24
25,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,25
26,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,26
27,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,27
28,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,28
29,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,29
30,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,30
31,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,31
32,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,32
