;Table name: Optical
;MariaDB types
;INT NOT NULL : ObjID, ID
;INT NOT NULL DEFAULT -99 : FI,FR,FZ
;FLOAT NOT NULL DEFAULT -99.0 : eR,eI,eZ,I,R,Z
;VARCHAR(255) NOT NULL DEFAULT 'N.A.' : Pub_Optical
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,R,eR,FR,I,eI,FI,Z,eZ,FZ,Pub_Optical,ID
3,-99.0,-99.0,-99,24.30,0.0,2,23.90,0.0,3,Palau et al 2014,3
97,-99.0,-99.0,-99,22.94,0.03,24,22.24,0.03,25,Barrado et al 2009,97
172,-99.0,-99.0,-99,-99.0,-99.0,-99,20.9,0.,29,Morata et al 2015,172
178,25.3,0.26,36,20.81,0.13,37,24.31,0.19,38,Santamaría et al 2020,178
180,25.95,0.22,36,-99.,-99.,-99,21.74,0.25,38,Santamaría et al 2020,180
198,18.57,0.2,40,16.43,0.,39,14.88,0.,29,Briceño et al 1998/Luhman 1998,198
199,-99.,-99.,-99,16.9,0.,39,-99.,-99.,-99,White et al 2004,199
200,-99.,-99.,-99,17.88,0.25,39,-99.,-99.,-99,Luhman et al 2006b,200
206,-99.0,-99.0,-99,16.538,0.07,50,-99.0,-99.0,-99,Caballero 2008,206
207,-99.0,-99.0,-99,17.172,0.12,50,-99.0,-99.0,-99,Caballero 2008,207
