;Table name:Position
;MariaDB types
;INT NOT NULL : ObjID,ID
;FLOAT NOT NULL DEFAULT -99.0 : Distance,eDistance
;DOUBLE NOT NULL DEFAULT -99.0 : Decl,RA
;VARCHAR(30) NOT NULL DEFAULT "N.A." : Region,Type,Class,RA_hms,Decl_dms
;VARCHAR(255) NOT NULL DEFAULT "N.A." : Pub_Position
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,RA,RA_hms,Decl,Decl_dms,Distance,eDistance,Region,Type,Class,Pub_Position,ID
0,52.13541666666667,03:28:32.5,31.18472222222222,+31:11:05,293.0,22.0,Perseus,Proto-BD,I,"Dunham08,Kim16,Carney16",0
1,52.16291666666667,03:28:39.1,31.10027777777778,+31:06:01,293.0,22.0,Perseus,Proto-BD,I,"Dunham08,Kim16,Carney16",1
2,52.63583333333333,03:30:32.6,30.440555555555555,+30:26:26,293.0,22.0,Perseus,VeLLO/Protostar,I,"Dunham08,Kim16",2
3,55.99054167,03:43:57.73,32.05280556,+32:03:10.1,321.0,10.0,Perseus,Proto-BD,0,"Palau14,Kim16,Kim19",3
4,60.392916666666665,04:01:34.3,41.195277777777775,+41:11:43,450.0,23.0,California,VeLLO,Flat,"Dunham15,Kim16",4
5,63.551249999999996,04:14:12.3,28.14361111111111,+28:08:37,137.0,10.0,Taurus,Proto-BD,I,"Kim16,Kim19",5
6,64.6675,04:18:40.2,28.490277777777777,+28:29:25,137.0,10.0,Taurus,VeLLO,I,"Kim16,Kim19",6
7,65.48708333333335,04:21:56.90,15.496222222222222,+15:29:46.4,140.0,10.0,Taurus,Proto-BD,0,"Andre99,Belloche02,Dunham08,Kim16,Palau14,Kim19",7
8,67.16208333333334,04:28:38.90,26.85988888888889,+26:51:35.6,137.0,10.0,Taurus,Proto-BD,0,"Dunham08,Kim16,Bulger14,Palau14,Kim19",8
9,67.56208333333333,04:30:14.9,36.00222222222222,+36:00:08,450.0,23.0,California,VeLLO,I,"Kim16,Kim19",9
10,246.7016666666667,16:26:48.4,-24.477222222222224,-24:28:38,138.4,2.6,Ophiuchus,VeLLO,Flat,"Kim16,Kim19,Andre&Montmerle94",10
11,247.09,16:28:21.6,-24.60638888888889,-24:36:23,138.4,2.6,Ophiuchus,Proto-BD,0,"Dunham08,Kim16,Kim19,Hsieh16",11
12,274.06829167,18:16:16.39,-2.54380556,-02:32:37.7,436.0,9.0,Aquila,Proto-BD,0,"Kim16,Kim19",12
13,274.2478,18:16:59.47,-18.0418,-18:02:30.5,217.0,30.0,LDN328,Proto-BD,0,"Lee13,Kim16,Kim19,Lee18",13
14,277.2325,18:28:55.8,-1.6261111111111113,-01:37:34,436.0,9.0,Aquila,VeLLO/D,I,Kim16,14
